# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

D. art of eulogizing the dead,
3. One suspects that the reason why some of our newspaper still manage to break even.......suggests that,
some Nigerian newspapers,
A. would be running at a loss but for obituaries,
B. are patronized only because they specialize in obituaries,
C. derive all their revenue from obituaries,
D. invest huge revenue in obituaries,
4. Obituaries are very popular in Nigeria because,
A. evil things are not said against the dead,
B. every dead Nigerian must have lived a sanity life,
C. only very few Nigerians die natural deaths,
D. Nigerians value dead greatly,
5. Which of the following can be deduced from the passage?,
A. the writer believes that most Nigerians do not die natural deaths,
B. obituaries insinuate that most Nigerians do not die natural deaths,
C. the writer is convinced that every death in Nigeria is a big blow to the bereaved,
D. the writer suspects that every death in Nigeria is a big blow to the bereaved,
PASSAGE B,
You all know how friendly we are with Okperi. Do you think that any Umuaro man who goes to prison there,
"will come back alive? But that apart, do you forget that this is the moon of planting? Do you want to grow this",
year’s crops in the prison house in a land where your fathers owe a cow? I speak as your elder brother. I have,
travelled in Olu and I have travelled in Igbo and I can tell you that there is no escape from the white man. He,
"has come when suffering knocks at your door and you say there is no seat left for him, he tells you not to",
worry because he has brought his own stool. The white man is like that. Before any of you here was old,
"enough to tie a cloth between the legs, I saw with my own eyes what the white man did to Abame. Then I",
knew there was no escape. As day light chases away darkness so will the white man drive away all our,
"customs. I know that as I say it now it passes by your ears, but it will happen. The white man has power which",www.myschoolgist.com
comes from the true God and it burns like fire. This is the God about whom we preach every eighth day………...,
Unachukwu’s opponents were now shouting that this was a meeting of an age group that they had not,
assembled to join with him in chewing the seed of foolishness which they called their new religion.,
‘We are talking about the white man’s road’ said a voice above the others.,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

"‘Yes, we are talking about the white man’s road. But when the roof and walls of a house fall in, the ceiling is",
"not left standing. The white man, the new religion, the soldiers, the new road-they are all part of the same",
"thing. The white man has a gun, a machete, a bow and carries fire in his mouth. He does not fight with one",
weapon alone’.,
6. The dominant subject of this passage is the,
A. white man's road,
B. new religion,
C. white man's influence,
D. white man's weapons,
"7. According to the passage, the people of Umuaro and Okperi",
A. are friends,
B. are only acquaintances,
C. are no friends,
D. can never be enemies,
8. 'There is no escape from the white man' in the passage means that the,
A. white man will send the people to prison,
B. white man can kill all the people with his gun,
C. people are only trying to run away from the white man,
D. people must accept the white man,
9. 'Passes by your ears' in the passage means,
A. piercing through your ears,
B. listening eagerly,
C. making no impression,
D. accepting the truth,
10. Unachukwu’s speech in this passage shows that he,
A. is a coward,
B. wants his people to suffer,
C. loves the white man,
D. is wise with experience,
PASSAGE C,
"Manager: Mr.Mbu, I would not describe you as an inefficient worker; I therefore find it difficult to understand",
"why the conference room is so untidy, in spite of the fact that I had reminded you of the meeting scheduled to",
take place there this afternoon.,
www.myschoolgist.com,
"Secretary: Sir, I did instruct the cleaner to tidy up the place before meeting",
Manager: Are you trying to hold the cleaner responsible for the untidy condition of the room?,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

"Secretary: Partly, sir, I gave him an instruction which he failed to carry out. It is certainly my intention to make",
a formal complaint against him for dereliction of duty.,
Manager: And would you wash your hands off any blame after that? Do you think that just making a formal,
complaint against the cleaner absolves you of all blame? When do you consider an assignment as properly,
executed; when the execution is properly supervised or not? Was it sufficient for you to give instruction to the,
cleaner without ensuring that he actually carried them out?,
"Secretary: Sir, I do not see what else I could have done, short of doing the job myself. The cleaner Is a six-",
footer and I could not have intimidated him physically.,
"Manager: I see, I await your complaints against the cleaner, but I shall not forget that you allowed a board",
meeting to take place in an untidy conference room.,
"11. The relationship between the manager and his secretary, as revealed in the passage could be said to be",
A. strained,
B. charged,
C. personal,
D. cordial,
12 'I would not describe you as an inefficient worker.......suggests that the manager,
A. is quite pleased with the level of diligence of his secretary,
B. has had cause in the complaint against his secretary,
C. is dissatisfied with the level of performance of his secretary,
D. is non-committal over the efficiency of his secretary,
13. it would appear that the manager feels that the secretary,
"A. should have, if possible, personally cleaned the conference room",
B. should have ensured that someone else cleaned the conference room,
C. should have ensured that the cleaner did his job,
D. is a coward,
14. The secretary's attitude seems to be,
"A. manager sir, you employed this huge and recalcitrant cleaner and I am not to do his job for him",
B. it is not the duty of a secretary to enforce the instruction he gives to his junior workers,
C. I am a secretary by profession not a cleaner,
D. it is not terribly important how tidy the conference room is for the meeting,
15. The last comment by the manager suggests that he,www.myschoolgist.com
A. is going to hold the secretary responsible for what has happened,
B. is likely to reprimand both the secretary and the cleaner for dereliction of duty,
C. will punish the cleaner but warn the secretary,
D. will warn the cleaner and punish the secretary,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

PASSAGE D,
Primitive man was probably more concerned with fire as a source of warmth and as a means of cooking food,
"than as a source of light. Before the discovered less laborious ways of making fire, he had to preserve it and",
"whenever he went on a journey, he carried a firebrand with him. He discovered that the firebrand, from which",
"the torch may well have developed, could be used for illumination was probably incidental to the primary",
purpose of preserving a flame.,
Lamps too probably developed by accident. Early man may have his first conception of a lamp while watching,
a twinge or fiber burning in the molten fat dropped from roasting carcass. All he had to do was to fashion a,
vessel to contain fat and float a lighted reed in it. Such lamps which were made of hollow stones or sea-shells,
have persisted in identical form up to quite recent times.,
16. Primitive man carried a firebrand during his journeys mainly for,
A. illumination,
B. cooking of food,
C. flame preservation,
D. warmth,
"17. According to the passage, the torch probably developed from a",
A. firebrand,
B. twinge,
C. lamp,
D. fiber,
101,
18. Primitive man was least concerned with fire as a,
A. means of cooking,
B. source of warmth,
C. source of light,
D. means of travelling,
19. One-way early man made a lamp was by putting a lighted reed in a,
A. hollow stone,
B. sea shell,
C. vessel,
D. molten fat,
20. Primitive man preserved fire because,
A. he used it for illumination during his travels,
B. his method of making fire was laborious,www.myschoolgist.com
C. he wanted to discover how to make a lamp,
D. he wanted to develop the torch,
PASSAGE E,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

Developments in electronic science have transformed the art of record keeping to the modern age.,
